['33', '442', '378', '453', '185', '299', '331', '363', '54', '90', '295', '319', '340', '346', '435', '194', '207', '230', '235', '119', '150', '219', '275', '292', '327', '379', '380', '99', '184', '234', '294', '485', '49', '116', '140', '216', '265', '312', '313', '335', '342', '359', '390', '392', '415', '464', '3', '36', '45', '75']
['240', '117', '461', '89', '159', '192', '212', '351', '352', '381', '416', '465', '498', '78', '215', '71', '120', '173', '303', '318', '198', '243', '259', '273', '369', '432', '108', '138', '141', '197', '251', '337', '22', '156', '162', '111', '232', '236', '253', '284', '301', '361', '403', '13', '51', '92', '124', '134', '144', '160']
['314', '202', '270', '288', '308', '322', '329', '336', '345', '448', '454', '469', '488', '5', '15', '85', '113', '157', '188', '195', '220', '372', '373', '391', '462', '481', '496', '14', '76', '84', '93', '105', '125', '127', '131', '158', '172', '223', '246', '249', '279', '291', '310', '356', '358', '360', '362', '398', '425', '459']
['1', '252', '365', '377', '237', '497', '211', '278', '480', '495', '52', '58', '96', '109', '214', '248', '286', '370', '386', '428', '438', '445', '451', '452', '479', '8', '28', '32', '40', '65', '68', '123', '136', '161', '199', '200', '254', '257', '271', '320', '333', '347', '353', '368', '374', '399', '402', '410', '419', '436']
['17', '4', '37', '263', '20', '26', '102', '420', '91', '115', '142', '147', '163', '168', '205', '229', '306', '311', '332', '395', '405', '421', '441', '463', '477', '489', '46', '64', '66', '82', '88', '100', '146', '153', '166', '180', '193', '221', '238', '244', '245', '261', '285', '307', '324', '330', '354', '371', '387', '407']
['69', '73', '449', '81', '135', '206', '264', '393', '397', '409', '10', '133', '305', '468', '470', '475', '7', '30', '59', '62', '79', '83', '104', '128', '145', '169', '182', '191', '218', '225', '262', '277', '300', '366', '384', '388', '414', '418', '423', '444', '458', '466', '474', '482', '484', '38', '67', '72', '74', '80']
['228', '179', '364', '492', '29', '42', '175', '190', '334', '389', '19', '139', '424', '486', '2', '34', '47', '57', '60', '87', '110', '155', '174', '176', '186', '196', '204', '224', '226', '239', '266', '290', '297', '309', '323', '325', '376', '394', '401', '406', '412', '429', '456', '467', '490', '493', '11', '16', '31', '39']
['27', '70', '98', '101', '103', '170', '203', '321', '328', '338', '350', '446', '472', '6', '25', '61', '97', '122', '130', '164', '213', '222', '242', '339', '343', '344', '367', '385', '422', '457', '9', '43', '118', '137', '183', '187', '250', '269', '404', '426', '35', '126', '152', '177', '201', '217', '227', '491', '132', '282']
['256', '427', '450', '18', '24', '44', '268', '375', '383', '437', '0', '50', '247', '287', '357', '12', '55', '94', '149', '281', '296', '413', '53', '63', '121', '171', '293', '315', '349', '382', '476', '77', '280', '289', '302', '433', '478', '86', '107', '148', '231', '233', '260', '267', '431', '455', '167', '181', '241', '430']
['396', '129', '209', '210', '471', '499', '143', '165', '189', '255', '272', '473', '41', '298', '326', '348', '494', '106', '317', '439', '483', '411', '95', '276', '151', '178', '274', '440', '114', '154', '208', '304', '400', '408', '283', '434', '447', '460', '487', '21', '48', '258', '316', '341', '355', '417', '23', '112', '56', '443']
